fips,lon,lat,pop,name
48085,-96.690642,33.112899,1064465,Collin
48087,-100.221748,34.861822,2652,Collingsworth
48089,-96.538931,29.664806,20557,Colorado
48091,-98.22166,29.764473,161501,Comal
48093,-98.559029,31.972232,13594,Comanche
48095,-99.857069,31.291192,3303,Concho
48097,-97.13379,33.607384,41668,Cooke
48099,-97.83252,31.236375,83093,Coryell
48101,-100.30428,34.02779,1380,Cottle
48103,-102.352663,31.402296,4675,Crane
48105,-101.216615,30.704747,3098,Crockett
48107,-101.357576,33.660414,5133,Crosby
48109,-104.819502,31.064217,2188,Culberson
48111,-102.568672,36.104995,7115,Dallam
48113,-96.787649,32.809819,2613539,Dallas
48115,-101.949301,32.734655,12456,Dawson
48117,-102.402802,34.835619,18583,Deaf Smith
48119,-95.70459,33.374802,5230,Delta
48121,-97.014655,33.116408,906422,Denton
48123,-97.31152,29.099569,19824,DeWitt
48125,-100.855931,33.5467,1770,Dickens
48127,-99.826991,28.520685,8615,Dimmit
48129,-100.862317,34.943929,3258,Donley
48131,-98.391035,27.742533,9831,Duval
48133,-98.845399,32.357306,17725,Eastland
48135,-102.389586,31.866684,165171,Ector
48137,-100.202797,29.985934,1422,Edwards
48139,-96.828008,32.429032,192455,Ellis
48141,-106.365548,31.783025,865657,El Paso
48143,-98.225168,32.21206,42545,Erath
48145,-96.951052,31.260935,16968,Falls
48147,-96.181312,33.556926,35662,Fannin
48149,-96.901177,29.856137,24435,Fayette
48151,-100.413975,32.770889,3672,Fisher
48153,-101.374427,34.039808,5402,Floyd
48155,-99.705226,33.99161,1095,Foard
48157,-95.681282,29.620209,822779,Fort Bend
48159,-95.223923,33.122067,10359,Franklin
48161,-96.20929,31.700054,19435,Freestone
48163,-99.108503,28.839468,18385,Frio
48165,-102.658045,32.751995,21598,Gaines
48167,-95.019324,29.428137,350682,Galveston
48169,-101.380565,33.197542,5816,Garza
48171,-98.908076,30.273641,26725,Gillespie
48173,-101.525278,31.8426,1116,Glasscock
48175,-97.362276,28.710579,7012,Goliad
48177,-97.504312,29.477178,19653,Gonzales
48179,-100.939889,35.530415,21227,Gray
48181,-96.626605,33.644861,135543,Grayson
48183,-94.790846,32.49989,124239,Gregg
48185,-96.007289,30.439295,29268,Grimes
48187,-98.107377,29.601993,172706,Guadalupe
48189,-101.742413,34.143518,32522,Hale
48191,-100.592641,34.664744,2825,Hall
48193,-98.095686,31.763001,8222,Hamilton
48195,-101.271246,36.213672,5285,Hansford
48197,-99.701429,34.285182,3549,Hardeman
48199,-94.25717,30.29938,56231,Hardin
48201,-95.425716,29.816889,4731145,Harris
48203,-94.427274,32.534326,68839,Harrison
48205,-102.50231,35.994603,5382,Hartley
48207,-99.764733,33.177505,5416,Haskell
48209,-97.925385,30.009405,241067,Hays
48211,-100.360755,35.893039,3382,Hemphill
48213,-95.889359,32.241331,82150,Henderson
48215,-98.184508,26.235916,870781,Hidalgo
48217,-97.17713,31.998194,35874,Hill
48219,-102.333262,33.583536,21537,Hockley
48221,-97.76226,32.434349,61598,Hood
48223,-95.589265,33.124495,36787,Hopkins
48225,-95.466359,31.297879,22066,Houston
48227,-101.463071,32.241408,34860,Howard
48229,-105.546009,31.368286,3202,Hudspeth
48231,-96.104497,33.082058,99956,Hunt
48233,-101.44712,35.679194,20617,Hutchinson
48235,-100.834684,31.270407,1513,Irion
48237,-98.168766,33.200241,8472,Jack
48239,-96.594369,28.959201,14988,Jackson
48241,-93.993279,30.731569,32980,Jasper
